Γεωγραφικό Διαμέρισμα,Περιφέρεια,county_normalized,county,unit,unit2,3/24/21
Ελλάδα,Ελλάδα,A_ΕΛΛΑΔΑ,Χωρίς Γεωγραφικό Προσδιορισμό (DAILY),,ΥΠΟ ΔΙΕΡΕΥΝΗΣΗ,100.0
Αττική,Άγιον Όρος,ΑΓΙΟ ΟΡΟΣ,Άγιο Όρος,Άγιο Όρος,ΑΓΙΟ ΟΡΟΣ,
Στερεά Ελλάδα,Περιφέρεια Δυτικής Ελλάδας,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Π.Ε. Αιτωλοακαρνανίας,Π.Ε. Αιτωλοακαρνανίας,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,30.0
Πελοπόννησος,Περιφέρεια Πελοποννήσου,ΑΡΓΟΛΙΔΑΣ,Π.Ε. Αργολίδας,Π.Ε. Αργολίδας,ΑΡΓΟΛΙΔΑΣ,22.0
Πελοπόννησος,Περιφέρεια Πελοποννήσου,ΑΡΚΑΔΙΑΣ,Π.Ε. Αρκαδίας,Π.Ε. Αρκαδίας,ΑΡΚΑΔΙΑΣ,19.0
Ήπειρος,Περιφέρεια Ηπείρου,ΑΡΤΑΣ,Π.Ε. Άρτας,Π.Ε. Άρτας,ΑΡΤΑΣ,5.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Π.Ε. Ανατολικής Αττικής,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,192.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Π.Ε. Βόρειου Τομέα Αθηνών,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,168.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Π.Ε. Δυτικής Αττικής,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,98.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Π.Ε. Δυτικού Τομέα Αθηνών,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,214.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Π.Ε. Κεντρικού Τομέα Αθηνών,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,338.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Π.Ε. Νήσων,ΝΗΣΩΝ,18.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Π.Ε. Νοτίου Τομέα Αθηνών,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,173.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Π.Ε. Πειραιώς,ΠΕΙΡΑΙΩΣ,221.0
Ελλάδα,Ελλάδα,ΑΥΤΟΒΟΥΛΩΣ,Εισαγόμενα (Αυτοβούλως),Εισαγόμενα (Αυτοβούλως),ΑΥΤΟΒΟΥΛΩΣ,0.0
Πελοπόννησος,Περιφέρεια Δυτικής Ελλάδας,ΑΧΑΪΑΣ,Π.Ε. Αχαϊας,Π.Ε. Αχαϊας,ΑΧΑΪΑΣ,121.0
Στερεά Ελλάδα,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,ΒΟΙΩΤΙΑΣ,Π.Ε. Βοιωτίας,Π.Ε. Βοιωτίας,ΒΟΙΩΤΙΑΣ,39.0
Μακεδονία,Περιφέρεια Δυτικής Μακεδονίας,ΓΡΕΒΕΝΩΝ,Π.Ε. Γρεβενών,Π.Ε. Γρεβενών,ΓΡΕΒΕΝΩΝ,7.0
Μακεδονία,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,ΔΡΑΜΑΣ,Π.Ε. Δράμας,Π.Ε. Δράμας,ΔΡΑΜΑΣ,9.0
Νησιά Αιγαίου Πελάγους,Περιφέρεια Νοτίου Αιγαίου,ΔΩΔΕΚΑΝΗΣΩΝ,Ν. Δωδεκανήσου,Ν. Δωδεκανήσου,,
