name_eng,name,notes
Hong Kong S.A.R.,Χονγκ Κονγκ,
Chile,Χιλή,
Fiji,Φίτζι,
Finland,Φινλανδία,
Philippines,Φιλιππίνες,
Scarborough Reef,Ύφαλος Σκαρμπόροου,
Coral Sea Islands,Ύφαλοι Θάλασσας Κοραλλίων,
Yemen,Υεμένη,
Tunisia,Τυνησία,
Czech Republic,Τσεχία,
Chad,Τσαντ,
Trinidad and Tobago,Τρινιντάντ & Τομπάγκο,
Turkmenistan,Τουρκμενιστάν,
Turkey,Τουρκία,
Tuvalu,Τουβαλού,
Togo,Τόγκο,
Tonga,Τόγκα,
Djibouti,Τζιμπουτί,
Jersey,Τζέρσι,
Jamaica,Τζαμάικα,
Tajikistan,Τατζικιστάν,
United Republic of Tanzania,Τανζανία,
Thailand,Ταϊλάνδη,
Taiwan,Ταϊβάν,
Syria,Συρία,
Sri Lanka,Σρι Λάνκα,
Suriname,Σουρινάμ,
Sweden,Σουηδία,
Sudan,Σουδάν,
Swaziland,Σουαζιλάνδη,
Somalia,Σομαλία,
Slovenia,Σλοβενία,
Slovakia,Σλοβακία,
Sierra Leone,Σιέρα Λεόνε,
Singapore,Σιγκαπούρη,
Republic of Serbia,Σερβία,
Serbia,Σερβία,
Saint Pierre and Miquelon,Σεντ Πιέρ & Μικελόν,
Senegal,Σενεγάλη,
Saudi Arabia,Σαουδική Αραβία,
Sao Tome and Principe,Σάο Τομέ & Πρίνσιπε,
Samoa,Σαμόα,
Russia,Ρωσία,
Romania,Ρουμανία,
Rwanda,Ρουάντα,
Cape Verde,Πράσινο Ακρωτήριο,
Cyprus No Mans Area,Πράσινη Γραμμή (Κύπρος),
Puerto Rico,Πουέρτο Ρίκο,
Portugal,Πορτογαλία,
Poland,Πολωνία,
Pitcairn Islands,Πίτκαϊρν,
Peru,Περού,
Akrotiri Sovereign Base Area,Περιοχή Κυρίαρχων Βάσεων Ακρωτηρίου,
Indian Ocean Territories,Περιοχή Ινδικού Ωκ/νού,
Dhekelia Sovereign Base Area,Περιοχές Κυρίαρχων Βάσεων Ακρωτηρίου & Δεκέλιας,
Paraguay,Παραγουάη,
Papua New Guinea,Παπούα Ν. Γουινέα,
Panama,Παναμάς,
Palestine,Παλεστίνη,
Palau,Παλάου,
Pakistan,Πακιστάν,
Siachen Glacier,Παγετώνας Σιάχεν,
Uruguay,Ουρουγουάη,
Ukraine,Ουκρανία,
Uzbekistan,Ουζμπεκιστάν,
Uganda,Ουγκάντα,
Hungary,Ουγγαρία,
Honduras,Ονδούρα,
Federated States of Micronesia,Ομόσπονδες Πολιτείες Μικρονησίας,
Oman,Ομάν,
Netherlands,Ολλανδία,
South Sudan,Νότιο Σουδάν,
South Korea,Νότια Κορέα,
South Africa,Νότια Αφρική,
Norway,Νορβηγία,
Niue,Νιούε,
Nicaragua,Νικαράγουα,
Nigeria,Νιγηρία,
Niger,Νίγηρας,
Serranilla Bank,Νήσος Σερανίγια,
Norfolk Island,Νήσος Νόρφολκ,
Isle of Man,Νήσος Μαν,
Falkland Islands,Νήσοι Φώκλαντ,
Faroe Islands,Νήσοι Φερόε,
Turks and Caicos Islands,Νήσοι Τουρκ & Κάικος,
Solomon Islands,Νήσοι Σολομώντα,
Wallis and Futuna,Νήσοι Ουώλις & Φουτούνα,
Marshall Islands,Νήσοι Μάρσαλ,
Cook Islands,Νήσοι Κουκ,
Northern Mariana Islands,Νήσοι Βόρειες Μαριάνες,
Spratly Islands,Νησιά Σπράτλυ,
Cayman Islands,Νησιά Κέιμαν,
Ashmore and Cartier Islands,Νησιά Άσμορ & Κάρτιερ,
Nepal,Νεπάλ,
New Caledonia,Νέα Καληδονία,
New Zealand,Νέα Ζηλανδία,
Nauru,Ναουρού,
Namibia,Ναμίμπια,
Brunei,Μπρουνέι,
Bhutan,Μπουτάν,
Burundi,Μπουρούντι,
Burkina Faso,Μπουρκίνα Φάσο,
Botswana,Μποτσουάνα,
Benin,Μπενίν,
Belize,Μπελίζ,
Bahrain,Μπαχρέιν,
The Bahamas,Μπαχάμες,
Barbados,Μπαρμπάντος,
Bangladesh,Μπανγκλαντές,
Montserrat,Μοντσερράτ,
Monaco,Μονακό,
Moldova,Μολδοβία,
Mozambique,Μοζαμβίκη,
Mongolia,Μογγολία,
Myanmar,Μιανμάρ,
Mexico,Μεξικό,
Montenegro,Μαυροβούνιο,
Mauritania,Μαυριτανία,
Morocco,Μαρόκο,
Malta,Μάλτα,
Mali,Μάλι,
Malawi,Μαλάουι,
Malaysia,Μαλαισία,
Macao S.A.R,Μακάου,
Madagascar,Μαδαγασκάρη,
Luxembourg,Λουξεμβούργο,
Liechtenstein,Λίχτενσταϊν,
Lithuania,Λιθουανία,
Libya,Λιβύη,
Liberia,Λιβερία,
Lebanon,Λίβανος,
Belarus,Λευκορωσία,
Latvia,Λεττονία,
Lesotho,Λεσότο,
Laos,Λάος,
Democratic Republic of the Congo,Λαϊκή Δημ/τία Κονγκό,
Cyprus,Κύπρος,
Croatia,Κροατία,
Curaçao,Κουρασάο,
Kuwait,Κουβέιτ,
Cuba,Κούβα,
Costa Rica,Κόστα Ρίκα,
Kosovo,Κόσοβο,
Baykonur Cosmodrome,Κοσμοδρόμιο του Μπαϊκώνου,
Comoros,Κομόρες,
Colombia,Κολομβία,
Kiribati,Κιριμπάτι,
Kyrgyzstan,Κιργιζία,
China,Κίνα,
Kenya,Κένυα,
Central African Republic,Κεντροαφρικανική Δημ/τία,
Northern Cyprus,Κατεχόμενα Βόρεια Κύπρος,
Qatar,Κατάρ,
Canada,Καναδάς,
Cambodia,Καμπότζη,
Cameroon,Καμερούν,
Kazakhstan,Καζακστάν,
Italy,Ιταλία,
Israel,Ισραήλ,
Spain,Ισπανία,
Iceland,Ισλανδία,Η Ισλανδία φαίνεται ότι έχει μεγαλύτερο αριθμό επιβεβαιωμένων κρουσμάτων ανά 1 εκ. πληθυσμού επειδή υποβάλει μεγαλύτερο ποσοστό του πληθυσμού σε τεστ.
Ecuador,Ισημερινός,
Equatorial Guinea,Ισημερινή Γουινέα,
Ireland,Ιρλανδία,
Iran,Ιράν,
Iraq,Ιράκ,
Jordan,Ιορδανία,
Indonesia,Ινδονησία,
India,Ινδία,
Japan,Ιαπωνία,
United States of America,ΗΠΑ,
United Kingdom,Ην. Βασίλειο,
UK,Ην. Βασίλειο,
United Arab Emirates,Ην. Αραβικά Εμιράτα,
Zimbabwe,Ζιμπάμπουε,
Zambia,Ζάμπια,
Estonia,Εσθονία,
Eritrea,Ερυθραία,
Greece,Ελλάδα,
Switzerland,Ελβετία,
El Salvador,Ελ Σαλβαδόρ,
Western Sahara,Δυτική Σαχάρα,
Dominican Republic,Δομινικανή Δημ/τία,
Dominica,Δομινίκα,
Republic of Congo,Δημ/τία Κονγκό,
Denmark,Δανία,
Greenland,Γροιλανδία,
Grenada,Γρενάδα,
Guinea Bissau,Γουινέα-Μπισσάου,
Guinea,Γουινέα,
Guyana,Γουιάνα,
Guatemala,Γουατεμάλα,
Guam,Γκουάμ,
Guernsey,Γκέρνσεϊ,
Ghana,Γκάνα,
Gabon,Γκαμπόν,
Gambia,Γκάμπια,
Gibraltar,Γιβραλτάρ,
Georgia,Γεωργία,
Germany,Γερμανία,
French Polynesia,Γαλλική Πολυνησία,
France,Γαλλία,
British Virgin Islands,Βρετανικές Παρθένες Νήσοι,
Brazil,Βραζιλία,
Bulgaria,Βουλγαρία,
Bosnia and Herzegovina,Βοσνία-Ερζεγοβίνη,
Macedonia,Βόρεια Μακεδονία,
North Macedonia,Βόρεια Μακεδονία,
North Korea,Βόρεια Κορέα,
Bolivia,Βολιβία,
Vietnam,Βιετνάμ,
Bermuda,Βερμούδες,
Venezuela,Βενεζουέλα,
Belgium,Βέλγιο,
Vatican,Βατικανό,
Vanuatu,Βανουάτου,
Afghanistan,Αφγανιστάν,
Austria,Αυστρία,
Australia,Αυστραλία,
Aruba,Αρούμπα,
Armenia,Αρμενία,
Argentina,Αργεντινή,
United States Minor Outlying Islands,Απομακρυσμένες Νησίδες ΗΠΑ,
Antigua and Barbuda,Αντίγκουα & Μπαρμπούντα,
Andorra,Ανδόρρα,
Anguilla,Ανγκουίλα,
Angola,Ανγκόλα,
East Timor,Ανατολικό Τιμόρ,
American Samoa,Αμερικανική Σαμόα,
US Naval Base Guantanamo Bay,Αμερικανική Ναυτική Βάση Γκουαντάναμο,
Algeria,Αλγερία,
Albania,Αλβανία,
Aland,Άλαντ,
Ivory Coast,Ακτή Ελεφαντοστού,
Haiti,Αϊτή,
Ethiopia,Αιθιοπία,
Egypt,Αίγυπτος,
Azerbaijan,Αζερμπαϊτζάν,
Saint Martin,Άγιος Μαρτίνος,
Saint Barthelemy,Άγιος Βαρθολομαίος,
Saint Kitts and Nevis,Αγ. Χριστόφορος & Νέβις,
Sint Maarten,Άγ. Μαρτίνος,
San Marino,Άγ. Μαρίνος,
Saint Lucia,Άγ. Λουκία,
Saint Vincent and the Grenadines,Άγ. Βικέντιος & Γρεναδίνες,
Bajo Nuevo Bank (Petrel Is.),Bajo Nuevo Bank (Petrel Is.),
