Γεωγραφικό Διαμέρισμα,Περιφέρεια,county,county_en,pop_11,Πρωτεύουσα,county_normalized,new_cases,new_deaths
Ελλάδα,Ελλάδα,Χωρίς Γεωγραφικό Προσδιορισμό,No Location Provided,10816286.0,,ΕΛΛΑΔΑ,0,97
Αττική,Άγιον Όρος,Άγιο Όρος,Mount Athos,1811.0,Καρυές,ΑΓΙΟ ΟΡΟΣ,2,0
Στερεά Ελλάδα,Περιφέρεια Δυτικής Ελλάδας,Π.Ε. Αιτωλοακαρνανίας,Aetolia-Acarnania,210802.0,Μεσολόγγι,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,559,0
Πελοπόννησος,Περιφέρεια Πελοποννήσου,Π.Ε. Αργολίδας,Argolis,97044.0,Ναύπλιο,ΑΡΓΟΛΙΔΑΣ,452,0
Πελοπόννησος,Περιφέρεια Πελοποννήσου,Π.Ε. Αρκαδίας,Arcadia,86685.0,Τρίπολη,ΑΡΚΑΔΙΑΣ,284,0
Ήπειρος,Περιφέρεια Ηπείρου,Π.Ε. Άρτας,Arta,67877.0,Άρτα,ΑΡΤΑΣ,329,0
Αττική,Περιφέρεια Αττικής,Περιφέρεια Αττικής,Attica,3828434.0,Αθήνα,ΑΤΤΙΚΗΣ,25274,0
Ελλάδα,Ελλάδα,Εισαγόμενα (Αυτοβούλως),Imported (They asked to be tested),,,ΑΥΤΟΒΟΥΛΩΣ,0,0
Πελοπόννησος,Περιφέρεια Δυτικής Ελλάδας,Π.Ε. Αχαϊας,Achaea,309694.0,Πάτρα,ΑΧΑΪΑΣ,1105,0
Στερεά Ελλάδα,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Π.Ε. Βοιωτίας,Boeotia,117920.0,Λιβαδειά,ΒΟΙΩΤΙΑΣ,389,0
Μακεδονία,Περιφέρεια Δυτικής Μακεδονίας,Π.Ε. Γρεβενών,Grevena,31757.0,Γρεβενά,ΓΡΕΒΕΝΩΝ,129,0
Μακεδονία,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,Π.Ε. Δράμας,Drama,98287.0,Δράμα,ΔΡΑΜΑΣ,320,0
Νησιά Αιγαίου Πελάγους,Περιφέρεια Νοτίου Αιγαίου,Ν. Δωδεκανήσου,Dodecanese,190988.0,Ρόδος,ΔΩΔΕΚΑΝΗΣΩΝ,1102,0
Θράκη,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,Π.Ε. Έβρου,Evros,147947.0,Αλεξανδρούπολη,ΕΒΡΟΥ,657,0
Στερεά Ελλάδα,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Π.Ε. Ευβοίας,Euboea,210815.0,Χαλκίδα,ΕΥΒΟΙΑΣ,755,0
Στερεά Ελλάδα,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Π.Ε. Ευρυτανίας,Evrytania,20081.0,Καρπενήσι,ΕΥΡΥΤΑΝΙΑΣ,35,0
Νησιά Ιονίου Πελάγους,Περιφέρεια Ιονίων Νήσων,Π.Ε. Ζακύνθου,Zakynthos,40759.0,Ζάκυνθος,ΖΑΚΥΝΘΟΥ,89,0
Πελοπόννησος,Περιφέρεια Δυτικής Ελλάδας,Π.Ε. Ηλείας,Elis,159300.0,Πύργος,ΗΛΕΙΑΣ,450,0
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,Π.Ε. Ημαθίας,Imathia,140611.0,Βέροια,ΗΜΑΘΙΑΣ,586,0
Κρήτη,Περιφέρεια Κρήτης,Π.Ε. Ηρακλείου,Herakleion,305490.0,Ηράκλειο,ΗΡΑΚΛΕΙΟΥ,1381,0
Ήπειρος,Περιφέρεια Ηπείρου,Π.Ε. Θεσπρωτίας,Thesprotia,43587.0,Ηγουμενίτσα,ΘΕΣΠΡΩΤΙΑΣ,210,0
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,Π.Ε. Θεσσαλονίκης,Thessaloniki,1110551.0,Θεσσαλονίκη,ΘΕΣΣΑΛΟΝΙΚΗΣ,6353,0
Ήπειρος,Περιφέρεια Ηπείρου,Π.Ε. Ιωαννίνων,Ioannina,167901.0,Γιάννενα,ΙΩΑΝΝΙΝΩΝ,857,0
Μακεδονία,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,Ν. Καβάλας,Kavala,138687.0,Καβάλα,ΚΑΒΑΛΑΣ,491,0
Θεσσαλία,Περιφέρεια Θεσσαλίας,Π.Ε. Καρδίτσας,Karditsa,113544.0,Καρδίτσα,ΚΑΡΔΙΤΣΑΣ,846,0
Μακεδονία,Περιφέρεια Δυτικής Μακεδονίας,Π.Ε. Καστοριάς,Kastoria,50322.0,Καστοριά,ΚΑΣΤΟΡΙΑΣ,265,0
Νησιά Ιονίου Πελάγους,Περιφέρεια Ιονίων Νήσων,Π.Ε. Κέρκυρας,Corfu (Kerkyra),104371.0,Κέρκυρα,ΚΕΡΚΥΡΑΣ,312,0
Νησιά Ιονίου Πελάγους,Περιφέρεια Ιονίων Νήσων,Ν. Κεφαλληνίας,Kefalonia,39032.0,Αργοστόλι,ΚΕΦΑΛΛΟΝΙΑΣ,141,0
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,Π.Ε. Κιλκίς,Kilkis,80419.0,Κιλκίς,ΚΙΛΚΙΣ,303,0
Μακεδονία,Περιφέρεια Δυτικής Μακεδονίας,Π.Ε. Κοζάνης,Kozani,150196.0,Κοζάνη,ΚΟΖΑΝΗΣ,747,0
Πελοπόννησος,Περιφέρεια Πελοποννήσου,Π.Ε. Κορινθίας,Corinthia,145082.0,Κόρινθος,ΚΟΡΙΝΘΟΥ,552,0
Ελλάδα,Ελλάδα,Κρουαζιερόπλοιο,Cruise Ship,,,ΚΡΟΥΑΖΙΕΡΟΠΛΟΙΟ,0,0
Νησιά Αιγαίου Πελάγους,Περιφέρεια Νοτίου Αιγαίου,Ν. Κυκλάδων,Cyclades,118027.0,Ερμούπολη,ΚΥΚΛΑΔΩΝ,666,0
Πελοπόννησος,Περιφέρεια Πελοποννήσου,Π.Ε. Λακωνίας,Laconia,89138.0,Σπάρτη,ΛΑΚΩΝΙΑΣ,366,0
Θεσσαλία,Περιφέρεια Θεσσαλίας,Π.Ε. Λαρίσης,Larissa,284325.0,Λάρισα,ΛΑΡΙΣΑΣ,1609,0
Κρήτη,Περιφέρεια Κρήτης,Π.Ε. Λασιθίου,Lasithi,75381.0,Άγιος Νικόλαος,ΛΑΣΙΘΙΟΥ,876,0
Νησιά Αιγαίου Πελάγους,Περιφέρεια Βορείου Αιγαίου,Ν. Λέσβου,Lesbos,103698.0,Μυτιλήνη,ΛΕΣΒΟΥ,89,0
Νησιά Ιονίου Πελάγους,Περιφέρεια Ιονίων Νήσων,Π.Ε. Λευκάδας,Lefkada,23693.0,Λευκάδα,ΛΕΥΚΑΔΑΣ,80,0
Θεσσαλία,Περιφέρεια Θεσσαλίας,Ν. Μαγνησίας,Magnesia,203808.0,Βόλος,ΜΑΓΝΗΣΙΑΣ,763,0
Πελοπόννησος,Περιφέρεια Πελοποννήσου,Π.Ε. Μεσσηνίας,Messenia,159954.0,Καλαμάτα,ΜΕΣΣΗΝΙΑΣ,551,0
Θράκη,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,Π.Ε. Ξάνθης,Xanthi,111222.0,Ξάνθη,ΞΑΝΘΗΣ,435,0
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,Π.Ε. Πέλλας,Pella,139680.0,Έδεσσα,ΠΕΛΛΑΣ,741,0
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,Π.Ε. Πιερίας,Pieria,126698.0,Κατερίνη,ΠΙΕΡΙΑΣ,641,0
Ήπειρος,Περιφέρεια Ηπείρου,Π.Ε. Πρεβέζης,Preveza,57491.0,Πρέβεζα,ΠΡΕΒΕΖΑΣ,182,0
Ελλάδα,Ελλάδα,Εισαγόμενα (Πύλες Εισόδου),Imported (Detected at the entry points),,,ΠΥΛΕΣ ΕΙΣΟΔΟΥ,0,0
Κρήτη,Περιφέρεια Κρήτης,Π.Ε. Ρεθύμνης,Rethymno,85609.0,Ρέθυμνο,ΡΕΘΥΜΝΟΥ,357,0
Θράκη,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,Π.Ε. Ροδόπης,Rhodope,112039.0,Κομοτηνή,ΡΟΔΟΠΗΣ,292,0
Νησιά Αιγαίου Πελάγους,Περιφέρεια Βορείου Αιγαίου,Ν. Σάμου,Samos,42859.0,Σάμος,ΣΑΜΟΥ,138,0
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,Π.Ε. Σερρών,Serres,176430.0,Σέρρες,ΣΕΡΡΩΝ,810,0
Θεσσαλία,Περιφέρεια Θεσσαλίας,Π.Ε. Τρικάλων,Trikala,131085.0,Τρίκαλα,ΤΡΙΚΑΛΩΝ,816,0
Στερεά Ελλάδα,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Π.Ε. Φθιώτιδος,Phthiotis,158231.0,Λαμία,ΦΘΙΩΤΙΔΑΣ,747,0
Μακεδονία,Περιφέρεια Δυτικής Μακεδονίας,Π.Ε. Φλώρινας,Florina,51414.0,Φλώρινα,ΦΛΩΡΙΝΑΣ,192,0
Στερεά Ελλάδα,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Π.Ε. Φωκίδας,Phocis,40343.0,Άμφισσα,ΦΩΚΙΔΑΣ,68,0
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,Π.Ε. Χαλκιδικής,Chalkidiki,107719.0,Πολύγυρος,ΧΑΛΚΙΔΙΚΗΣ,405,0
Κρήτη,Περιφέρεια Κρήτης,Π.Ε. Χανίων,Chania,156585.0,Χανιά,ΧΑΝΙΩΝ,782,0
Νησιά Αιγαίου Πελάγους,Περιφέρεια Βορείου Αιγαίου,Ν. Χίου,Chios,52674.0,Χίος,ΧΙΟΥ,188,0
