Γεωγραφικό Διαμέρισμα,Περιφέρεια,county_normalized,county,county_en,pop_11,Πρωτεύουσα,dead,critical,recovered,cases
Ελλάδα,Ελλάδα,ΕΛΛΑΔΑ,Χωρίς Γεωγραφικό Προσδιορισμό,No Location Provided,,,1236.0,608.0,27870.0,2680.0
Αττική,Άγιον Όρος,ΑΓΙΟ ΟΡΟΣ,Άγιο Όρος,Mount Athos,1811.0,Καρυές,,,,5.0
Στερεά Ελλάδα,Περιφέρεια Δυτικής Ελλάδας,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Π.Ε. Αιτωλοακαρνανίας,Aetolia-Acarnania,210802.0,Μεσολόγγι,2.0,,,587.0
Πελοπόννησος,Περιφέρεια Πελοποννήσου,ΑΡΓΟΛΙΔΑΣ,Π.Ε. Αργολίδας,Argolis,97044.0,Ναύπλιο,,,,319.0
Πελοπόννησος,Περιφέρεια Πελοποννήσου,ΑΡΚΑΔΙΑΣ,Π.Ε. Αρκαδίας,Arcadia,86685.0,Τρίπολη,,,,209.0
Ήπειρος,Περιφέρεια Ηπείρου,ΑΡΤΑΣ,Π.Ε. Άρτας,Arta,67877.0,Άρτα,2.0,,,189.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Attica,3828434.0,Αθήνα,330.0,,,28047.0
Ελλάδα,Ελλάδα,ΑΥΤΟΒΟΥΛΩΣ,Εισαγόμενα (Αυτοβούλως),Imported (They asked to be tested),,,,,,545.0
Πελοπόννησος,Περιφέρεια Δυτικής Ελλάδας,ΑΧΑΪΑΣ,Π.Ε. Αχαϊας,Achaea,309694.0,Πάτρα,14.0,,,1073.0
Στερεά Ελλάδα,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,ΒΟΙΩΤΙΑΣ,Π.Ε. Βοιωτίας,Boeotia,117920.0,Λιβαδειά,,,,460.0
Μακεδονία,Περιφέρεια Δυτικής Μακεδονίας,ΓΡΕΒΕΝΩΝ,Π.Ε. Γρεβενών,Grevena,31757.0,Γρεβενά,1.0,,,446.0
Μακεδονία,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,ΔΡΑΜΑΣ,Π.Ε. Δράμας,Drama,98287.0,Δράμα,7.0,,,2084.0
Νησιά Αιγαίου Πελάγους,Περιφέρεια Νοτίου Αιγαίου,ΔΩΔΕΚΑΝΗΣΩΝ,Ν. Δωδεκανήσου,Dodecanese,190988.0,Ρόδος,,,,421.0
Θράκη,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,ΕΒΡΟΥ,Π.Ε. Έβρου,Evros,147947.0,Αλεξανδρούπολη,25.0,,,1457.0
Στερεά Ελλάδα,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,ΕΥΒΟΙΑΣ,Π.Ε. Ευβοίας,Euboea,210815.0,Χαλκίδα,1.0,,,356.0
Στερεά Ελλάδα,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,ΕΥΡΥΤΑΝΙΑΣ,Π.Ε. Ευρυτανίας,Evrytania,20081.0,Καρπενήσι,,,,156.0
Νησιά Ιονίου Πελάγους,Περιφέρεια Ιονίων Νήσων,ΖΑΚΥΝΘΟΥ,Π.Ε. Ζακύνθου,Zakynthos,40759.0,Ζάκυνθος,3.0,,,74.0
Πελοπόννησος,Περιφέρεια Δυτικής Ελλάδας,ΗΛΕΙΑΣ,Π.Ε. Ηλείας,Elis,159300.0,Πύργος,2.0,,,341.0
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,ΗΜΑΘΙΑΣ,Π.Ε. Ημαθίας,Imathia,140611.0,Βέροια,5.0,,,1987.0
Κρήτη,Περιφέρεια Κρήτης,ΗΡΑΚΛΕΙΟΥ,Π.Ε. Ηρακλείου,Herakleion,305490.0,Ηράκλειο,2.0,,,940.0
