district,district_EN,pop_11,cases,dead,critical,recovered
Άγιον Όρος,Mount Athos,,4.0,0.0,,
Περιφέρεια Ανατολικής Μακεδονίας Θράκης,East Macedonia-Thrace,608182.0,658.0,26.0,,
Περιφέρεια Αττικής,Attica,3753783.0,2495.0,92.0,,
Περιφέρεια Βορείου Αιγαίου,North Aegean,199231.0,61.0,2.0,,
Περιφέρεια Δυτικής Ελλάδας,Western Greece,679796.0,117.0,8.0,,
Περιφέρεια Δυτικής Μακεδονίας,Western Macedonia,283689.0,244.0,31.0,,
Περιφέρεια Ηπείρου,Epirus,336856.0,50.0,1.0,,
Περιφέρεια Θεσσαλίας,Thessaly,732762.0,358.0,3.0,,
Περιφέρεια Ιονίων Νήσων,Ionian Islands,207855.0,130.0,2.0,,
Περιφέρεια Κεντρικής Μακεδονίας,Central Macedonia,1882108.0,1108.0,33.0,,
Περιφέρεια Κρήτης,Crete,623065.0,91.0,1.0,,
Περιφέρεια Νοτίου Αιγαίου,South Aegean,309015.0,127.0,0.0,,
Περιφέρεια Πελοποννήσου,Peloponnese,577903.0,257.0,0.0,,
Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Central Greece,547390.0,134.0,0.0,,
Χωρίς Γεωγραφικό Προσδιορισμό,No Location Provided,,480.0,28.0,23.0,3987.0
Χωρίς Μόνιμη Κατοικία στην Ελλάδα,Non-Residents,,544.0,1.0,,
