address,category,closed_from,closed_to,closed_to_date,district,formatted_add,lat,lng,municipality,notes,retrieval_date,school,school_code,search_coo,status,status_date,latest_update,level,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,status_match
ΑΛΕΞΑΝΔΡΟΥ ΔΕΛΜΟΥΖΟΥ 9,,2021-01-15,28-01-2021,2021-01-28,,"Al. Delmouzou 12, Iraklio 714 10, Greece",35.3219949,25.1011788,ΗΡΑΚΛΕΙΟΥ,Στ2 (ΣΤ Τάξη) από 15/1 έως και 28/1,2021-01-15,52ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΗΡΑΚΛΕΙΟΥ,9170575.0,"52ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΗΡΑΚΛΕΙΟΥ,ΑΛΕΞΑΝΔΡΟΥ ΔΕΛΜΟΥΖΟΥ 9,ΗΡΑΚΛΕΙΟΥ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,True
Μ. ΑΛΕΞΑΝΔΡΟΥ 24,,2021-01-13,27-01-2021,2021-01-27,,"Meg. Alexandrou 23, Lagkadas 572 00, Greece",40.7498146,23.0639989,ΛΑΓΚΑΔΑ,Ε1 (Ε Τάξη) από 14/1 έως και 27/1,2021-01-15,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΓΚΑΔΑ,9190203.0,"1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΓΚΑΔΑ,Μ. ΑΛΕΞΑΝΔΡΟΥ 24,ΛΑΓΚΑΔΑ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-18,Δημοτικά,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,True
ΚΥΠΡΟΥ - ΑΓ. ΑΝΔΡΕΑΣ,,2021-01-14,24-01-2021,2021-01-24,,"Kiprou, Peania 190 02, Greece",37.96782350000001,23.8472877,ΠΑΙΑΝΙΑΣ,Β2 (Β Τάξη) από 14/1 έως και 24/1,2021-01-15,4ο  ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΙΑΝΙΑΣ,9051774.0,"4ο  ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΙΑΝΙΑΣ,ΚΥΠΡΟΥ - ΑΓ. ΑΝΔΡΕΑΣ,ΠΑΙΑΝΙΑΣ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,True
ΧΩΡΙΟ ΑΓΡΙΑΝΗ - ΣΟΥΦΛΙΟΥ ΝΟΜΟΥ ΕΒΡΟΥ,,2021-01-14,27-01-2021,2021-01-27,,"Agriani 684 00, Greece",41.2834234,26.2880844,ΣΟΥΦΛΙΟΥ,"Γ΄ ΤΑΞΗ (Γ Τάξη), Δ΄ΤΑΞΗ (Δ Τάξη) από 14/1 έως και 27/1",2021-01-15,ΜΕΙΟΝΟΤΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΑΝΗΣ,9110121.0,"ΜΕΙΟΝΟΤΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΑΝΗΣ,ΧΩΡΙΟ ΑΓΡΙΑΝΗ - ΣΟΥΦΛΙΟΥ ΝΟΜΟΥ ΕΒΡΟΥ,ΣΟΥΦΛΙΟΥ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,True
ΚΩΣΤΑ ΒΑΡΝΑΛΗ 39,,2021-01-12,25-01-2021,2021-01-25,,"Kosta Varnali 33, Petroupoli 132 31, Greece",38.0432121,23.689567,ΠΕΤΡΟΥΠΟΛΕΩΣ,"ΟΛΟΗΜΕΡΟ 2 (ΠΡΟΝΗΠΙΑ-ΝΗΠΙΑ Τάξη), ΠΡΩΙΝΗ ΖΩΝΗ 2 (ΠΡΟΝΗΠΙΑ-ΝΗΠΙΑ Τάξη), ΠΡΩΙΝΟ 3 (ΠΡΟΝΗΠΙΑ-ΝΗΠΙΑ Τάξη) από 12/1 έως και 25/1",2021-01-15,13ο ΝΗΠΙΑΓΩΓΕΙΟ ΠΕΤΡΟΥΠΟΛΗΣ,9051637.0,"13ο ΝΗΠΙΑΓΩΓΕΙΟ ΠΕΤΡΟΥΠΟΛΗΣ,ΚΩΣΤΑ ΒΑΡΝΑΛΗ 39,ΠΕΤΡΟΥΠΟΛΕΩΣ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-30,Νηπιαγωγεία,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,True
ΕΓΓΟΝΟΠΟΥΛΟΥ ΚΑΙ ΠΑΡΘΕΝΗ,,2021-01-12,25-01-2021,2021-01-25,,"Konstantinou Partheni ke Eggonopoulou, Fili 133 42, Greece",38.0749664,23.7045927,ΦΥΛΗΣ,"Β2 (Β Τάξη), Β2 ΑΓΓΛΙΚΩΝ (Β Τάξη) από 12/1 έως και 25/1",2021-01-15,4ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΝΩ ΛΙΟΣΙΩΝ,9050686.0,"4ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΝΩ ΛΙΟΣΙΩΝ,ΕΓΓΟΝΟΠΟΥΛΟΥ ΚΑΙ ΠΑΡΘΕΝΗ,ΦΥΛΗΣ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-15,Δημοτικά,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,True
Γεωργίου Καραμούζη 2,,2021-01-14,27-01-2021,2021-01-27,,"Xiromero 300 06, Greece",38.5370781,21.0816467,ΞΗΡΟΜΕΡΟΥ,"ΑΓΓΛΙΚΑ Β2 (Β Τάξη), Β2 (Β Τάξη), ΤΕ Β (Β Τάξη), ΑΓΓΛΙΚΑ Ε (Ε Τάξη), ΓΑΛΛΙΚΑ Ε (Ε Τάξη), Ε (Ε Τάξη), ΕΝΙΣΧΥΤΙΚΗ Ε (Ε Τάξη) από 14/1 έως και 27/1",2021-01-15,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΣΤΑΚΟΥ,9010252.0,"1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΣΤΑΚΟΥ,Γεωργίου Καραμούζη 2,ΞΗΡΟΜΕΡΟΥ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,True
ΑΚΡΑΤΑ,,2021-01-13,27-01-2021,2021-01-27,,"Akrata 250 06, Greece",38.1558667,22.3172743,ΑΙΓΙΑΛΕΙΑΣ,"Δ (Δ Τάξη), ΑΓΓΛΙΚΑ Δ (Δ Τάξη), ΕΝΤΑΞΗ  Δ (Δ Τάξη), Ζ1*Δ1 (Δ Τάξη), Ψυχοκοινωνική Υποστήριξη (Δ Τάξη) από 13/1 έως και 27/1",2021-01-15,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΚΡΑΤΑΣ,9060016.0,"1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΚΡΑΤΑΣ,ΑΚΡΑΤΑ,ΑΙΓΙΑΛΕΙΑΣ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,True
Κανάρη 9,,2021-01-12,28-01-2021,2021-01-28,,"Kanari 9, Marousi 151 26, Greece",38.05791749999999,23.8169478,ΑΜΑΡΟΥΣΙΟΥ,2 (ΣΤ Τάξη) από 15/1 έως και 28/1,2021-01-15,"ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΑΜΑΡΟΥΣΙΟΥ - ""Η ΕΛΛΗΝΙΚΗ ΠΑΙΔΕΙΑ""",7052028.0,"ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΑΜΑΡΟΥΣΙΟΥ - ""Η ΕΛΛΗΝΙΚΗ ΠΑΙΔΕΙΑ"",Κανάρη 9,ΑΜΑΡΟΥΣΙΟΥ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-26,Δημοτικά,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,True
ΧΡΥΣΟΣΤΟΜΟΥ ΣΜΥΡΝΗΣ 29,,2021-01-13,26-01-2021,2021-01-26,,"Nafplion 211 00, Greece",37.5687021,22.8092899,ΝΑΥΠΛΙΕΩΝ,"ΕΝΙΣΧΥΤΙΚΗ 6 (ΣΤ Τάξη), Ζ0*ΣΤ1 (ΣΤ Τάξη), Ζ1*ΣΤ1 (ΣΤ Τάξη), ΣΤ (ΣΤ Τάξη), ΣΤ ΑΓΓ (ΣΤ Τάξη), ΣΤ ΓΑΛΛ (ΣΤ Τάξη) από 13/1 έως και 26/1",2021-01-15,5ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΑΥΠΛΙΟΥ,9020547.0,"5ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΑΥΠΛΙΟΥ,ΧΡΥΣΟΣΤΟΜΟΥ ΣΜΥΡΝΗΣ 29,ΝΑΥΠΛΙΕΩΝ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,True
