week,area,area_en,pct_change_weekly_viral_load
2022-42,Αττική,Attica,0.69
2022-42,Θεσσαλονίκη,Thessaloniki,0.02
2022-42,Πάτρα,Patra,-34%
2022-42,Ηράκλειο,Heraklion,-46%
2022-42,Χανιά,Chania,-6%
2022-42,Άγιος Νικόλαος,Agios Nikolaos,-36%
2022-42,Ιωάννινα,Ioannina,-22%
2022-42,Κέρκυρα,Corfu,-6%
2022-43,Αττική,Attica,31%
2022-43,Θεσσαλονίκη,Thessaloniki,0%
2022-43,Πάτρα,Patra,-34%
2022-43,Ηράκλειο,Heraklion,249%
2022-43,Χανιά,Chania,79%
2022-43,Άγιος Νικόλαος,Agios Nikolaos,4%
2022-43,Ιωάννινα,Ioannina,53%
2022-43,Κέρκυρα,Corfu,-38%
2022-44,Αττική,Attica,-12%
2022-44,Θεσσαλονίκη,Thessaloniki,-25%
2022-44,Πάτρα,Patra,-43%
2022-44,Ηράκλειο,Heraklion,55%
2022-44,Χανιά,Chania,-21%
2022-44,Άγιος Νικόλαος,Agios Nikolaos,-60%
2022-44,Ιωάννινα,Ioannina,-55%
2022-44,Κέρκυρα,Corfu,-45%
2023-1,Αττική,Attica,31.0%
2023-1,Θεσσαλονίκη,Thessaloniki,9.0%
2023-1,Πάτρα,Patra,-51.0%
2023-1,Ηράκλειο,Heraklion,35.0%
2023-1,Χανιά,Chania,40.0%
2023-1,Ιωάννινα,Ioannina,-17.0%
2023-3,Αττική,Attica,-40%
2023-3,Θεσσαλονίκη,Thessaloniki,-10%
2023-3,Πάτρα,Patra,-44%
2023-3,Λάρισα,Larisa,0.04
2023-3,Βόλος,Volos,
2023-3,Ξάνθη,Xanthi,
2023-3,Αλεξανδρούπολη,Alexandroupoli,
2023-3,Ηράκλειο,Heraklion,-52%
2023-3,Χανιά,Chania,0.31
2023-3,Ιωάννινα,Ioannina,1.35
2023-4,Αττική,Attica,31%
2023-4,Θεσσαλονίκη,Thessaloniki,-0.29
2023-4,Πάτρα,Patra,-0.26
2023-4,Λάρισα,Larisa,-0.41
2023-4,Βόλος,Volos,-0.48
2023-4,Ξάνθη,Xanthi,24%
2023-4,Αλεξανδρούπολη,Alexandroupoli,65%
2023-4,Ηράκλειο,Heraklion,-0.22
2023-4,Χανιά,Chania,-0.28
2023-4,Ιωάννινα,Ioannina,-0.68
2023-5,Αττική,Attica,-0.56
2023-5,Θεσσαλονίκη,Thessaloniki,-0.33
2023-5,Πάτρα,Patra,-0.35
2023-5,Λάρισα,Larisa,20%
2023-5,Βόλος,Volos,-0.29
2023-5,Ξάνθη,Xanthi,-0.12
2023-5,Αλεξανδρούπολη,Alexandroupoli,41%
2023-5,Ηράκλειο,Heraklion,42%
2023-5,Χανιά,Chania,26%
2023-5,Ιωάννινα,Ioannina,163%
2023-6,Αττική,Attica,-8%
2023-6,Θεσσαλονίκη,Thessaloniki,0.03
2023-6,Πάτρα,Patra,3.54
2023-6,Λάρισα,Larisa,-24%
2023-6,Βόλος,Volos,-4%
2023-6,Ξάνθη,Xanthi,0.52
2023-6,Αλεξανδρούπολη,Alexandroupoli,0.12
2023-6,Ηράκλειο,Heraklion,0.4
2023-6,Χανιά,Chania,14
2023-6,Ιωάννινα,Ioannina,-11%
