,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
1,USA,8869831,"41,899",230283,215,"5,755,794","14,183","2,883,754","16,363","26,747",694,"132,922,405","400,832","331,616,304",North America,37,"1,440",2
2,India,7909049,"45,157",119030,463,"7,133,993","58,270","656,026","8,944","5,714",86,"102,523,469","74,063","1,384,271,181",Asia,175,"11,630",14
3,Brazil,5382087,863,156952,26,"4,817,898",,"407,237","8,318","25,264",737,"21,900,000","102,799","213,036,330",South America,40,"1,357",10
4,Russia,1513877,"16,710",26050,229,"1,138,522","7,704","349,305","2,300","10,372",178,"57,300,000","392,588","145,954,385",Europe,96,"5,603",3
5,France,1138507,"52,010",34761,116,"109,486",,"994,260","2,441","17,430",532,"14,880,040","227,804","65,319,392",Europe,57,"1,879",4
6,Spain,1110372,,34752,,N/A,N/A,N/A,"2,031","23,746",743,"15,503,165","331,544","46,760,544",Europe,42,"1,346",3
7,Argentina,1081336,,28613,,"881,113",,"171,610","4,850","23,857",631,"2,804,114","61,865","45,326,314",South America,42,"1,584",16
8,Colombia,1007711,,30000,,"907,379",,"70,332","2,365","19,738",588,"4,718,734","92,428","51,053,257",South America,51,"1,702",11
9,Mexico,886800,"6,025",88743,431,"646,739","5,664","151,318","2,781","6,855",686,"2,288,589","17,692","129,358,368",North America,146,"1,458",57
10,Peru,886214,,34095,,"803,846",,"48,273","1,044","26,761","1,030","4,367,969","131,901","33,115,484",South America,37,971,8
11,UK,873800,"19,790",44896,151,N/A,N/A,N/A,743,"12,850",660,"31,157,988","458,213","67,998,844",Europe,78,"1,515",2
12,South Africa,715868,"1,622",18968,24,"646,170","1,529","50,730",546,"12,023",319,"4,697,939","78,900","59,542,957",Africa,83,"3,139",13
13,Iran,568896,"6,191",32616,296,"455,054","4,163","81,226","4,969","6,746",387,"4,719,597","55,966","84,329,667",Asia,148,"2,586",18
14,Italy,525782,"21,273",37338,128,"266,203","2,086","222,241","1,208","8,700",618,"14,654,002","242,482","60,433,453",Europe,115,"1,619",4
15,Chile,502063,"1,540",13944,52,"478,252","1,676","9,867",723,"26,193",727,"4,119,551","214,919","19,167,892",South America,38,"1,375",5
16,Iraq,451707,"2,554",10623,55,"381,349","3,140","59,735",400,"11,153",262,"2,756,365","68,056","40,501,318",Asia,90,"3,813",15
17,Germany,437121,"9,313",10138,27,"317,000","2,900","109,983","1,296","5,212",121,"20,380,376","243,003","83,868,935",Europe,192,"8,273",4
18,Bangladesh,398815,"1,308",5803,23,"315,107","1,544","77,905",,"2,414",35,"2,257,589","13,665","165,205,282",Asia,414,"28,469",73
19,Indonesia,389712,"3,732",13299,94,"313,764","4,545","62,649",,"1,420",48,"4,327,144","15,768","274,432,288",Asia,704,"20,636",63
20,Philippines,370028,"2,223",6977,43,"328,036","14,944","35,015","1,562","3,363",63,"4,550,712","41,356","110,037,564",Asia,297,"15,771",24
21,Turkey,361801,"2,017",9799,72,"314,390","1,297","37,612","1,744","4,275",116,"13,217,888","156,195","84,624,109",Asia,234,"8,636",6
22,Saudi Arabia,344875,323,5296,15,"331,330",335,"8,249",788,"9,858",151,"7,670,348","219,259","34,983,025",Asia,101,"6,606",5
23,Ukraine,343498,"6,088",6391,102,"141,508","1,753","195,599",177,"7,869",146,"2,991,893","68,544","43,649,444",Europe,127,"6,830",15
24,Pakistan,327895,832,6736,9,"310,491",390,"10,668",562,"1,476",30,"4,264,053","19,188","222,223,177",Asia,678,"32,990",52
25,Israel,309413,,2372,,"291,206",,"15,835",548,"33,641",258,"4,401,559","478,556","9,197,590",Asia,30,"3,878",2
26,Belgium,305409,"17,709",10737,79,"22,878",361,"271,794",708,"26,316",925,"4,525,669","389,956","11,605,601",Europe,38,"1,081",3
27,Netherlands,291254,"10,202",7046,27,N/A,N/A,N/A,512,"16,986",411,"2,901,903","169,238","17,146,915",Europe,59,"2,434",6
28,Czechia,255373,"4,576",2167,90,"97,282","2,380","155,924",800,"23,833",202,"2,058,256","192,086","10,715,295",Europe,42,"4,945",5
29,Poland,253688,"11,742",4438,87,"112,619","3,275","136,631",947,"6,705",117,"4,330,602","114,465","37,833,389",Europe,149,"8,525",9
30,Canada,216044,"2,085",9946,24,"181,414","1,778","24,684",215,"5,708",263,"9,552,469","252,401","37,846,371",North America,175,"3,805",4
31,Romania,209648,"3,855",6391,73,"149,741","1,809","53,516",828,"10,921",333,"3,055,989","159,195","19,196,475",Europe,92,"3,004",6
32,Morocco,197481,"3,020",3301,46,"163,195","2,823","30,985",743,"5,330",89,"3,197,617","86,311","37,047,765",Africa,188,"11,223",12
33,Ecuador,161635,"2,021",12553,11,"141,759","7,572","7,323",365,"9,118",708,"521,891","29,441","17,726,685",South America,110,"1,412",34
34,Nepal,158089,"2,856",847,5,"111,670","3,336","45,572",,"5,396",29,"1,393,173","47,549","29,299,748",Asia,185,"34,592",21
35,Bolivia,140779,167,8627,19,"108,067",434,"24,085",71,"12,009",736,"326,973","27,892","11,722,834",South America,83,"1,359",36
36,Qatar,131170,205,230,1,"128,099",231,"2,841",33,"46,716",82,"934,283","332,745","2,807,805",Asia,21,"12,208",3
37,Panama,128515,,2628,,"104,562",,"21,325",128,"29,639",606,"621,118","143,248","4,335,953",North America,34,"1,650",7
38,UAE,125123,"1,359",477,2,"118,931","2,037","5,715",,"12,603",48,"12,465,687","1,255,626","9,927,866",Asia,79,"20,813",1
39,Dominican Republic,124527,509,2223,3,"102,651",298,"19,653",178,"11,443",204,"567,976","52,194","10,882,111",North America,87,"4,895",19
40,Kuwait,121635,708,746,2,"112,771",661,"8,118",121,"28,351",174,"876,250","204,240","4,290,297",Asia,35,"5,751",5
41,Portugal,118686,"2,577",2316,19,"68,877","1,035","47,493",230,"11,650",227,"3,156,991","309,898","10,187,204",Europe,86,"4,399",3
42,Oman,112932,"1,095",1174,27,"99,278","1,329","12,480",193,"21,943",228,"376,700","73,194","5,146,569",Asia,46,"4,384",14
43,Sweden,110594,,5933,,N/A,N/A,N/A,39,"10,929",586,"2,074,744","205,031","10,119,165",Europe,91,"1,706",5
44,Kazakhstan,110402,152,1796,,"105,618",52,"2,988",221,"5,858",95,"3,309,626","175,604","18,847,133",Asia,171,"10,494",6
45,Egypt,106397,,6187,,"98,813",,"1,397",41,"1,034",60,"135,000","1,312","102,933,765",Africa,967,"16,637",762
46,Guatemala,104632,,3609,,"93,880",,"7,143",5,"5,807",200,"409,066","22,703","18,018,534",North America,172,"4,993",44
47,Switzerland,103653,,2083,2,"55,800",,"45,770",123,"11,949",240,"1,726,438","199,022","8,674,594",Europe,84,"4,164",5
48,Costa Rica,103088,,1282,,"62,037",,"39,769",201,"20,179",251,"296,363","58,011","5,108,761",North America,50,"3,985",17
49,Japan,96534,699,1711,5,"89,282",495,"5,541",159,764,14,"2,573,495","20,368","126,352,656",Asia,"1,309","73,847",49
50,Ethiopia,92858,,1419,,"46,842",,"44,597",306,802,12,"1,437,497","12,409","115,840,251",Africa,"1,247","81,635",81
51,Belarus,92823,845,957,4,"83,237",567,"8,629",,"9,824",101,"2,372,445","251,097","9,448,332",Europe,102,"9,873",4
52,Honduras,92724,842,2617,5,"37,866",169,"52,241",25,"9,316",263,"220,422","22,145","9,953,732",North America,107,"3,803",45
53,Venezuela,89142,,770,,"83,443",,"4,929",117,"3,138",27,"2,022,949","71,205","28,410,184",South America,319,"36,896",14
54,Austria,80811,"2,782",979,14,"57,858","1,067","21,974",174,"8,956",109,"2,088,359","231,457","9,022,648",Europe,112,"9,216",4
55,Bahrain,79975,,312,,"76,474",,"3,189",29,"46,510",181,"1,678,847","976,353","1,719,508",Asia,22,"5,511",1
56,Armenia,77837,"2,314",1180,23,"50,908",207,"25,749",,"26,252",398,"377,340","127,265","2,965,003",Asia,38,"2,513",8
57,Moldova,71503,414,1685,16,"52,290",571,"17,528",824,"17,738",418,"343,554","85,229","4,030,968",Europe,56,"2,392",12
58,Lebanon,69906,,562,,"33,438",,"35,906",244,"10,257",82,"1,139,812","167,234","6,815,654",Asia,97,"12,127",6
59,Uzbekistan,65307,384,549,5,"62,509",476,"2,249",252,"1,942",16,"1,377,915","40,984","33,620,768",Asia,515,"61,240",24
60,Nigeria,61930,,1129,,"57,285",,"3,516",7,298,5,"603,611","2,906","207,712,437",Africa,"3,354","183,979",344
61,Hungary,59247,"3,149",1425,35,"16,242",235,"41,580",221,"6,138",148,"980,373","101,567","9,652,512",Europe,163,"6,774",10
62,Paraguay,59043,,1293,,"39,214",,"18,536",136,"8,246",181,"345,336","48,231","7,159,999",South America,121,"5,538",21
63,Singapore,57970,5,28,,"57,858",14,84,,"9,884",5,"3,486,260","594,433","5,864,850",Asia,101,"209,459",2
64,Ireland,57128,"1,020",1882,,"23,364",,"31,882",39,"11,529",380,"1,538,215","310,431","4,955,100",Europe,87,"2,633",3
65,Libya,56013,"1,639",795,5,"30,731",766,"24,487",,"8,117",115,"297,762","43,151","6,900,524",Africa,123,"8,680",23
66,Algeria,55880,,1907,,"38,932",,"15,041",33,"1,267",43,,,"44,097,217",Africa,789,"23,124",
67,Kyrgyzstan,55750,606,1134,4,"47,616",279,"7,000",24,"8,501",173,"392,223","59,811","6,557,733",Asia,118,"5,783",17
68,Jordan,53087,"2,337",579,39,"7,508",,"45,000",55,"5,187",57,"1,710,076","167,081","10,234,984",Asia,193,"17,677",6
69,Palestine,50442,453,448,5,"43,592",360,"6,402",,"9,817",87,"497,115","96,753","5,138,005",Asia,102,"11,469",10
70,Azerbaijan,49959,946,671,7,"41,279",228,"8,009",,"4,913",66,"1,291,534","127,020","10,167,949",Asia,204,"15,153",8
71,Kenya,49721,931,902,6,"34,209",333,"14,610",18,918,17,"659,920","12,190","54,137,408",Africa,"1,089","60,019",82
72,Tunisia,48799,,819,,"5,032",,"42,948",169,"4,115",69,"318,592","26,868","11,857,477",Africa,243,"14,478",37
73,Ghana,47690,,316,,"46,887",,487,9,"1,525",10,"518,785","16,589","31,273,767",Africa,656,"98,968",60
74,Myanmar,44774,986,1095,29,"24,920","1,212","18,759",,821,20,"605,843","11,111","54,524,991",Asia,"1,218","49,795",90
75,Slovakia,43843,"3,042",159,,"9,960",40,"33,724",66,"8,029",29,"694,117","127,116","5,460,484",Europe,125,"34,343",8
76,Bosnia and Herzegovina,40893,"1,135",1086,11,"26,459",91,"13,348",,"12,489",332,"291,987","89,176","3,274,268",Europe,80,"3,015",11
77,Afghanistan,40833,65,1514,3,"34,129",106,"5,190",93,"1,042",39,"119,994","3,061","39,199,143",Asia,960,"25,891",327
78,Denmark,40356,945,702,2,"31,985",284,"7,669",18,"6,960",121,"4,905,817","846,025","5,798,670",Europe,144,"8,260",1
79,Serbia,39486,614,792,3,"31,536",,"7,158",26,"4,525",91,"1,283,016","147,032","8,726,104",Europe,221,"11,018",7
80,Bulgaria,37562,,1084,,"18,232",,"18,246",138,"5,419",156,"659,602","95,158","6,931,629",Europe,185,"6,394",11
81,Croatia,36380,"2,421",437,8,"24,799","1,014","11,144",58,"8,879",107,"445,568","108,751","4,097,141",Europe,113,"9,376",9
82,El Salvador,32585,,949,5,"28,258",,"3,378",55,"5,016",146,"458,630","70,596","6,496,563",North America,199,"6,846",14
83,Greece,30782,790,574,10,"9,989",,"20,219",84,"2,958",55,"1,666,151","160,103","10,406,738",Europe,338,"18,130",6
84,Georgia,28431,"1,928",201,8,"10,767",604,"17,463",,"7,131",50,"800,789","200,864","3,986,722",Asia,140,"19,834",5
85,Australia,27513,14,905,,"25,181",,"1,427",,"1,075",35,"8,505,211","332,330","25,592,704",Australia/Oceania,930,"28,279",3
86,North Macedonia,26954,560,919,22,"18,627",197,"7,408",25,"12,938",441,"235,038","112,817","2,083,347",Europe,77,"2,267",9
87,Malaysia,26565,823,229,8,"17,134",579,"9,202",99,817,7,"2,006,716","61,753","32,495,878",Asia,"1,223","141,903",16
88,S. Korea,25836,61,457,,"23,869",35,"1,510",53,504,9,"2,546,146","49,649","51,283,225",Asia,"1,985","112,217",20
89,Slovenia,22950,"1,673",240,5,"8,424",406,"14,286",71,"11,039",115,"325,421","156,525","2,079,029",Europe,91,"8,663",6
90,Cameroon,21570,,425,,"20,117",,"1,028",61,806,16,"149,000","5,570","26,749,252",Africa,"1,240","62,939",180
91,Ivory Coast,20470,41,122,1,"20,166",29,182,,770,5,"188,017","7,074","26,579,367",Africa,"1,298","217,864",141
92,Albania,19157,299,477,4,"10,654",106,"8,026",20,"6,659",166,"112,626","39,150","2,876,795",Europe,150,"6,031",26
93,Norway,17843,94,279,,"11,863",,"5,701",6,"3,283",51,"1,528,498","281,253","5,434,608",Europe,305,"19,479",4
94,Madagascar,16968,,244,,"16,301",,423,16,608,9,"87,659","3,141","27,909,866",Africa,"1,645","114,385",318
95,Montenegro,16629,,263,,"12,601",,"3,765",26,"26,475",419,"84,817","135,039","628,091",Europe,38,"2,388",7
96,Zambia,16117,,348,,"15,179",,590,,869,19,"229,872","12,398","18,541,689",Africa,"1,150","53,281",81
97,Senegal,15551,8,321,,"14,254",93,976,4,921,19,"203,318","12,045","16,879,444",Africa,"1,085","52,584",83
98,Finland,14848,196,353,,"9,800",,"4,695",11,"2,678",64,"1,403,061","253,102","5,543,456",Europe,373,"15,704",4
99,Luxembourg,14204,491,145,1,"9,085",,"4,974",10,"22,576",230,"1,005,621","1,598,375","629,152",Europe,44,"4,339",1
100,Sudan,13742,,837,,"6,764",,"6,141",,311,19,,,"44,165,108",Africa,"3,214","52,766",
101,Namibia,12660,81,133,,"10,779",4,"1,748",2,"4,955",52,"122,261","47,848","2,555,210",Africa,202,"19,212",21
