date,county_en,region,unleaded_95,unleaded_100,super,diesel_driving,autogas,diesel_home_heating
2022-01-01,AITOLOAKARNANIA,ΝΟΜΟΣ ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ,1.772,1.952,,1.5,1.064,1.153
2022-01-01,ARGOLIDA,ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ,1.733,1.903,,1.462,1.016,1.117
2022-01-01,ARCADIA,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,1.783,1.94,,1.51,1.02,1.138
2022-01-01,ARTA,ΝΟΜΟΣ ΑΡΤΗΣ,1.745,1.933,1.487,1.481,1.021,1.135
2022-01-01,ATTICA,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,1.713,1.895,1.389,1.449,0.941,1.103
2022-01-01,ACHAEA,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.753,1.924,1.786,1.494,1.025,1.128
2022-01-01,BOEOTIA,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,1.746,1.926,,1.478,1.018,1.125
2022-01-01,GREVENA,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,1.773,1.936,,1.499,1.016,1.151
2022-01-01,DRAMA,ΝΟΜΟΣ ΔΡΑΜΑΣ,1.717,1.918,,1.447,0.989,1.095
2022-01-01,DODECANESE,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,1.899,2.0,,1.608,1.148,1.198
2022-01-01,EVROS,ΝΟΜΟΣ ΕΒΡΟΥ,1.754,1.926,,1.478,1.04,1.127
2022-01-01,EUBOEA,ΝΟΜΟΣ ΕΥΒΟΙΑΣ,1.77,1.924,1.489,1.502,1.0,1.13
2022-01-01,EVRYTANIA,ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ,1.84,2.022,,1.579,1.059,1.186
2022-01-01,ZAKYNTHOS,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.777,1.933,,1.492,,1.138
2022-01-01,ELIS,ΝΟΜΟΣ ΗΛΕΙΑΣ,1.744,1.905,,1.478,0.996,1.134
2022-01-01,IMATHIA,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.723,1.895,,1.464,0.965,1.103
2022-01-01,HERAKLEION,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,1.802,1.917,,1.533,1.081,1.179
2022-01-01,THESPROTIA,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,1.754,1.952,,1.494,1.015,1.16
2022-01-01,THESSALONIKI,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,1.7,1.879,1.429,1.441,0.98,1.106
2022-01-01,IOANNINA,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,1.75,1.909,,1.495,1.008,1.117
2022-01-01,KAVALA,ΝΟΜΟΣ ΚΑΒΑΛΑΣ,1.74,1.908,,1.479,1.023,1.124
2022-01-01,KARDITSA,ΝΟΜΟΣ ΚΑΡΔΙΤΣΗΣ,1.755,1.944,,1.481,1.0,1.127
2022-01-01,KASTORIA,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,1.766,1.924,,1.486,0.997,1.14
2022-01-01,CORFU (KERKYRA),ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ,1.797,1.95,,1.544,1.135,1.183
2022-01-01,KEFALONIA,ΝΟΜΟΣ ΚΕΦΑΛΛΗΝΙΑΣ,1.816,1.979,,1.559,1.13,1.191
2022-01-01,KILKIS,ΝΟΜΟΣ ΚΙΛΚΙΣ,1.733,1.905,,1.472,1.03,1.131
2022-01-01,KOZANI,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.74,1.882,,1.472,1.003,1.115
2022-01-01,CORINTHOS,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.747,1.918,,1.478,1.002,1.113
