year,Belgium,Denmark,Germany,Ireland,France,Italy,Luxembourg,Netherlands,United Kingdom,Greece,Spain,Portugal,Sweden,Austria,Finland,Czechia,Estonia,Cyprus,Lithuania,Latvia,Hungary,Malta,Poland,Slovenia,Slovakia,Bulgaria,Romania,Croatia,Total EU
1979,8.64,52.18,34.269999999999996,36.39,39.29,14.349999999999994,11.090000000000003,41.88,67.65,,,,,,,,,,,,,,,,,,,,38.01
1981,,,,,,,,,,18.519999999999996,,,,,,,,,,,,,,,,,,,
1984,7.909999999999997,47.62,43.24,52.44,43.28,17.53,11.209999999999994,49.12,67.43,19.409999999999997,,,,,,,,,,,,,,,,,,,41.02
1987,,,,,,,,,,,31.480000000000004,27.58,,,,,,,,,,,,,,,,,
1989,9.269999999999996,53.83,37.72,31.72,51.2,18.930000000000007,12.61,52.52,63.63,19.97,45.29,48.9,,,,,,,,,,,,,,,,,41.59
1994,9.340000000000003,47.08,39.98,56.02,47.29,26.400000000000006,11.450000000000003,64.31,63.57,26.819999999999993,40.86,64.46000000000001,,,,,,,,,,,,,,,,,43.33
1995,,,,,,,,,,,,,58.37,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,32.269999999999996,42.4,,,,,,,,,,,,,,
1999,8.950000000000003,49.54,54.81,49.79,53.24,30.239999999999995,12.730000000000004,69.98,76.0,29.75,36.95,60.07,61.16,50.6,69.86,,,,,,,,,,,,,,50.49
2004,9.189999999999998,52.11,57.0,41.42,57.24,28.28,8.650000000000006,60.74,61.48,36.78,54.86,61.4,62.15,57.57,60.57,71.7,73.17,27.5,51.62,58.66,61.5,17.61,79.13,71.65,83.03,,,,54.53
2007,,,,,,,,,,,,,,,,,,,,,,,,,,70.78,70.53,,
2009,9.61,40.46,56.73,41.36,59.37,33.53,9.239999999999995,63.25,65.3,47.46,55.13,63.23,54.47,54.03,61.4,71.78,56.1,40.6,79.02,46.3,63.69,21.209999999999994,75.47,71.63,80.36,61.01,72.33,,57.03
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.16,
2014,10.36,43.68,51.9,47.56,57.57,42.78,14.450000000000003,62.68,64.4,40.03,56.19,66.33,48.93,54.61,60.9,81.8,63.48,56.03,52.65,69.76,71.03,25.200000000000003,76.17,75.45,86.95,64.16,67.56,74.76,57.39
2019,11.530000000000001,33.92,38.62,50.3,49.88,45.5,15.760000000000005,58.07,62.82,41.31,39.27,69.25,44.73,40.2,59.2,71.28,62.4,55.01,46.52,66.47,56.64,27.299999999999997,54.32,71.11,77.26,67.36,48.8,70.15,49.34
2024,10.180000000000007,41.75,35.22,49.35,48.5,51.69,17.709999999999994,53.8,,58.61,50.79,63.46,46.6,43.7,59.6,63.55,62.4,41.14,71.65,66.18,40.55,27.0,59.35,58.55,65.62,66.21000000000001,47.58,78.65,48.92
