,Type of election,Year,Round,Registration (number of people),Total Vote  (number of people),Total Vote in %,Voter Abstention (number of people),Voter Abstention in %,Blank votes (number of people),Blank votes in %,Null votes (number of people),Null votes in %,Blank/Null votes (number of votes),Blank/Null votes in %,Political party winner (Latin),Political party winner,Political party winner - Nº of voters,Political party winner - % of voters,Source
0,Parliamentary,2023,II,9813595.0,5273699.0,53.74,4539896.0,46.26,26273.0,0.5,32219.0,0.61,58492.0,1.11,New Democracy,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,2115322.0,40.56,https://ekloges.ypes.gr/current/v/home/parties/
1,Parliamentary,2023,I,9813595.0,6061040.0,61.76,3752555.0,38.24,34959.0,0.58,123318.0,2.03,158277.0,2.61,New Democracy,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,2407750.0,40.79,http://ekloges-prev.singularlogic.eu/2023/may/v/home/parties/
2,Parliamentary,2019,,9984934.0,5769644.0,57.78,4215290.0,42.22,42640.0,0.74,77477.0,1.34,120117.0,2.08,New Democracy,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,2251618.0,39.85,http://ekloges-prev.singularlogic.eu/2019/v/home/parties/
3,Parliamentary,2015,II,9913609.0,5567930.0,56.16,4345679.0,43.84,64670.0,1.16,69884.0,1.26,134554.0,2.42,SYRIZA,ΣΥΡΙΖΑ,1926526.0,35.46,"http://ekloges-prev.singularlogic.eu/v2015b/v/public/index.html#{%22cls%22:%22level%22,%22params%22:{%22level%22:%22epik%22,%22id%22:1}}"
4,Parliamentary,2015,I,9900403.0,6330356.0,63.94,3570047.0,36.06,34830.0,0.55,114654.0,1.81,149484.0,2.36,SYRIZA,ΣΥΡΙΖΑ,2245978.0,36.34,"http://ekloges-prev.singularlogic.eu/v2015a/v/public/index.html#{%22cls%22:%22level%22,%22params%22:{%22level%22:%22epik%22,%22id%22:1}}"
5,Parliamentary,2012,II,9947876.0,6216798.0,62.49,3731078.0,37.51,25373.0,0.41,35961.0,0.58,61334.0,0.99,New Democracy,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,1825497.0,29.66,"http://ekloges-prev.singularlogic.eu/v2012b/public/index.html#{%22cls%22:%22level%22,%22params%22:{%22level%22:%22epik%22,%22id%22:1}}"
6,Parliamentary,2012,I,9945859.0,6476818.0,65.12,3469041.0,34.88,37913.0,0.59,114769.0,1.77,152682.0,2.36,New Democracy,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,1192103.0,18.85,"http://ekloges-prev.singularlogic.eu/v2012a/public/index.html#{%22cls%22:%22level%22,%22params%22:{%22level%22:%22epik%22,%22id%22:1}}"
7,Parliamentary,2009,,9929065.0,7044606.0,70.95,2884459.0,29.05,43269.0,0.61,142916.0,2.03,186185.0,2.64,PASOK,ΠΑΣΟΚ-ΚΙΝΑΛ,3012542.0,43.92,http://ekloges-prev.singularlogic.eu/v2009/pages/index.html
8,Parliamentary,2007,,9918917.0,7355026.0,74.15,2563891.0,25.85,47170.0,0.64,148850.0,2.02,196020.0,2.66,New Democracy,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,2994979.0,41.84,http://ekloges-prev.singularlogic.eu/v2007/pages/index.html
9,Parliamentary,2004,,9899472.0,7573368.0,76.5,2326104.0,23.5,43036.0,0.57,123713.0,1.63,166749.0,2.2,New Democracy,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,3359682.0,45.36,http://ekloges-prev.singularlogic.eu/voul2004/el/index.htm
